bucket,표제어,영문,df,recency,이웃표제어수,허브PR,병기문서,병기율,괄호안,괄호안율
I. 정보생태계·합성미디어,AI 리터러시,AI literacy,39,0.795,42,0.937,2,0.051,0,0.0
K. 이용자 보호·아동청소년·정신건강,정신건강,mental health,44,0.909,57,0.934,0,0.0,0,0.0
C. 오용·악용 위험,사이버 공격,cyberattack,92,0.913,67,0.93,0,0.0,0,0.0
C. 오용·악용 위험,위협,threat,257,0.856,86,0.92,10,0.032,0,0.0
B. 안전성 평가·측정,벤치마크,benchmark,368,0.948,89,0.912,6,0.015,1,0.003
F. 법·규제 개념,규정 준수,compliance,29,0.897,87,0.91,8,0.032,0,0.0
B. 안전성 평가·측정,공격 성공률,attack success rate (ASR),49,0.918,40,0.905,11,0.216,15,0.294
A. 정렬·모델 행동,사고연쇄,chain-of-thought (CoT),28,0.786,44,0.871,6,0.167,12,0.333
E. 거버넌스·책임 원칙,책임 있는 AI,responsible AI,41,0.78,45,0.869,0,0.0,0,0.0
A. 정렬·모델 행동,증류,distillation,32,1.0,43,0.868,10,0.27,3,0.081
F. 법·규제 개념,범용 AI 모델,general-purpose AI model (GPAI),44,0.614,42,0.866,4,0.091,25,0.568
L. 기반 기술·모델 공개 방식,대규모 언어모델,LLM,45,0.956,86,0.866,86,0.159,58,0.107
L. 기반 기술·모델 공개 방식,오픈웨이트 모델,open-weight model,26,1.0,58,0.855,2,0.038,4,0.075
H. 보안·사이버 위협,공급망,supply chain,103,0.922,66,0.848,2,0.019,0,0.0
C. 오용·악용 위험,취약점,vulnerability,268,0.955,76,0.847,7,0.026,1,0.004
E. 거버넌스·책임 원칙,윤리 원칙,ethical principles,124,0.79,79,0.844,4,0.017,0,0.0
J. 국가안보·중대위험,국가안보,national security,77,0.883,66,0.84,0,0.0,0,0.0
D. 에이전트·자율성,모델 컨텍스트 프로토콜,MCP,35,0.914,41,0.839,3,0.079,3,0.079
G. 표준·인증·위험관리,상호운용성,interoperability,30,0.9,35,0.839,4,0.133,0,0.0
G. 표준·인증·위험관리,인증,certification,99,0.869,73,0.839,5,0.04,0,0.0
D. 에이전트·자율성,AI 에이전트,AI agent,582,0.902,94,0.832,15,0.024,1,0.002
F. 법·규제 개념,수출 통제,export control,25,0.72,36,0.828,0,0.0,0,0.0
I. 정보생태계·합성미디어,출처 메타데이터,provenance metadata,27,0.852,37,0.827,3,0.103,0,0.0
J. 국가안보·중대위험,자율무기,autonomous weapons,19,1.0,25,0.825,0,0.0,0,0.0
H. 보안·사이버 위협,사이버 위협,cyber threat,33,0.939,40,0.824,1,0.024,0,0.0
A. 정렬·모델 행동,아첨 성향,sycophancy,7,0.714,38,0.821,2,0.077,7,0.269
H. 보안·사이버 위협,취약점 탐지,vulnerability detection,28,1.0,44,0.801,0,0.0,1,0.024
I. 정보생태계·합성미디어,딥페이크,deepfake,116,0.793,60,0.792,1,0.009,0,0.0
B. 안전성 평가·측정,해석가능성,interpretability,13,1.0,27,0.79,1,0.077,1,0.077
K. 이용자 보호·아동청소년·정신건강,정서적 의존,emotional dependence,10,1.0,18,0.751,0,0.0,0,0.0
F. 법·규제 개념,생성형 AI,generative AI,261,0.793,81,0.736,0,0.0,10,0.038
D. 에이전트·자율성,초지능,superintelligence,23,0.913,29,0.702,2,0.083,1,0.042
D. 에이전트·자율성,범용인공지능,AGI,41,0.878,59,0.674,5,0.056,6,0.067
L. 기반 기술·모델 공개 방식,파운데이션 모델,foundation model,53,0.887,58,0.669,1,0.019,0,0.0
M. AI 주권·물리 AI,소버린 AI,sovereign AI,23,0.957,48,0.662,0,0.0,0,0.0
D. 에이전트·자율성,작업 시간 지평,task time horizon,13,0.615,19,0.602,4,0.222,0,0.0
M. AI 주권·물리 AI,피지컬 AI,physical AI,26,1.0,26,0.534,0,0.0,1,0.038
