bucket,표제어,영문,대표표기,df,months,recency,최대변이df,변이표기
F. 법·규제 개념,투명성 의무,transparency obligation,투명성 의무,28,8,0.893,28,투명성 의무(28)
F. 법·규제 개념,규정 준수,compliance,규제 준수,29,13,0.897,197,규제 준수(29) / 규정 준수(25) / 준수(197)
F. 법·규제 개념,자동화된 의사결정,automated decision-making,의사결정,179,20,0.877,179,의사결정(179)
F. 법·규제 개념,개인정보 보호,data protection,개인정보 보호,61,16,0.918,178,개인정보 보호(61) / 개인정보(178)
F. 법·규제 개념,프라이버시,privacy,프라이버시,108,17,0.824,108,프라이버시(108)
F. 법·규제 개념,수출 통제,export control,수출 통제,25,13,0.72,25,수출 통제(25)
F. 법·규제 개념,표현의 자유,freedom of expression,표현 자유,24,7,0.958,24,표현 자유(24)
G. 표준·인증·위험관리,위험관리,risk management,위험 관리,59,20,0.864,59,위험 관리(59) / 위험관리(34) / Risk Management(25) / 리스크 관리(20)
G. 표준·인증·위험관리,위험 완화,risk mitigation,위험 완화,21,14,0.524,21,위험 완화(21)
G. 표준·인증·위험관리,적합성 평가,conformity assessment,적합성 평가,13,10,0.692,41,적합성 평가(13) / 적합성(41)
G. 표준·인증·위험관리,상호운용성,interoperability,상호운용성,30,10,0.9,30,상호운용성(30)
G. 표준·인증·위험관리,생애주기,lifecycle,생애주기,35,14,0.8,35,생애주기(35)
G. 표준·인증·위험관리,표준화,standardization,표준화,60,15,0.867,60,표준화(60)
G. 표준·인증·위험관리,인증,certification,인증,99,20,0.869,99,인증(99)
H. 보안·사이버 위협,사이버보안,cybersecurity,사이버보안,169,18,0.882,378,사이버보안(169) / 사이버 보안(126) / 사이버(378)
H. 보안·사이버 위협,사이버 방어,cyber defense,사이버 방어,26,8,1.0,26,사이버 방어(26)
H. 보안·사이버 위협,사이버 위협,cyber threat,사이버 위협,33,9,0.939,33,사이버 위협(33)
H. 보안·사이버 위협,취약점 탐지,vulnerability detection,취약점 탐지,28,8,1.0,28,취약점 탐지(28) / 취약점 발견(21)
H. 보안·사이버 위협,격리·샌드박싱,"isolation, sandboxing",격리,35,10,0.914,35,격리(35)
H. 보안·사이버 위협,공급망,supply chain,공급망,103,15,0.922,103,공급망(103)
I. 정보생태계·합성미디어,딥페이크,deepfake,딥페이크,116,22,0.793,116,딥페이크(116) / deepfake(30)
I. 정보생태계·합성미디어,허위정보,disinformation,허위정보,55,16,0.745,55,허위정보(55)
I. 정보생태계·합성미디어,워터마킹,watermarking,워터마크,32,13,0.875,32,워터마크(32) / 워터마킹(12)
I. 정보생태계·합성미디어,출처 메타데이터,provenance metadata,메타데이터,27,12,0.852,27,메타데이터(27)
I. 정보생태계·합성미디어,AI 리터러시,AI literacy,리터러시,39,14,0.795,39,리터러시(39)
J. 국가안보·중대위험,화학·생물·방사능·핵,CBRN,CBRN,14,13,0.643,14,CBRN(14)
J. 국가안보·중대위험,자율무기,autonomous weapons,자율무기,19,9,1.0,19,자율무기(19)
J. 국가안보·중대위험,국가안보,national security,국가안보,77,15,0.883,77,국가안보(77) / 국가 안보(43) / National Security(14)
J. 국가안보·중대위험,사고 보고,incident reporting,사고 보고,16,11,0.75,27,사고 보고(16) / 사고 대응(16) / incident(27)
K. 이용자 보호·아동청소년·정신건강,연령 확인,age verification,연령 확인,13,4,1.0,26,연령 확인(13) / 연령확인(8) / Verification(26)
K. 이용자 보호·아동청소년·정신건강,아동 성착취물,CSAM,아동 성착취물,19,9,0.895,19,아동 성착취물(19) / CSAM(13)
K. 이용자 보호·아동청소년·정신건강,아동·청소년 보호,child and youth protection,아동 보호,15,8,1.0,64,아동 보호(15) / 청소년 보호(14) / 청소년(64)
K. 이용자 보호·아동청소년·정신건강,정서적 의존,emotional dependence,정서적 의존,10,6,1.0,10,정서적 의존(10)
K. 이용자 보호·아동청소년·정신건강,정신건강,mental health,정신건강,44,11,0.909,44,정신건강(44) / 정신 건강(15)
L. 기반 기술·모델 공개 방식,대규모 언어모델,LLM,대규모 언어모델,45,11,0.956,477,대규모 언어모델(45) / 언어 모델(163) / LLM(477)
L. 기반 기술·모델 공개 방식,파운데이션 모델,foundation model,파운데이션 모델,53,12,0.887,53,파운데이션 모델(53) / 기반 모델(22)
L. 기반 기술·모델 공개 방식,모델 가중치,model weights,모델 가중치,33,16,0.758,100,모델 가중치(33) / 가중치(100)
L. 기반 기술·모델 공개 방식,학습 데이터,training data,학습 데이터,70,20,0.843,70,학습 데이터(70)
L. 기반 기술·모델 공개 방식,오픈웨이트 모델,open-weight model,오픈웨이트,26,7,1.0,40,오픈웨이트(26) / 오픈 웨이트(27) / open-weight(40)
M. AI 주권·물리 AI,소버린 AI,sovereign AI,소버린,23,10,0.957,24,소버린(23) / Sovereign(24)
M. AI 주권·물리 AI,피지컬 AI,physical AI,피지컬,26,6,1.0,26,피지컬(26) / Physical(8)
