score,df,n_defs,tier_a_ratio,bilingual,bucket_code,head,en,key
0.6246,1,1,0.0,1.0,J,기호주의 AI,기호주의 AI,기호주의 ai
0.6246,1,1,0.0,1.0,F,누적연산량,누적연산량,누적연산량
0.6246,1,1,0.0,1.0,I,딥러닝,딥러닝,딥러닝
0.6246,1,1,0.0,1.0,I,멀티모달,멀티모달,멀티모달
0.6246,1,1,0.0,1.0,I,메타 데이터,메타 데이터,메타 데이터
0.6246,1,1,0.0,1.0,D,메타 러닝,메타 러닝,메타 러닝
0.6246,1,1,0.0,1.0,J,모델 컨텍스트 프로토콜,모델 컨텍스트 프로토콜,모델 컨텍스트 프로토콜
0.6246,1,1,0.0,1.0,E,사후 훈련 기법,사후 훈련 기법,사후 훈련 기법
0.6246,1,1,0.0,1.0,A,섀도 AI,섀도 AI,섀도 ai
0.6246,1,1,0.0,1.0,D,에이전틱 AI,에이전틱 AI,에이전틱 ai
0.6246,1,1,0.0,1.0,I,오픈소스 AI,오픈소스 AI,오픈소스 ai
0.6246,1,1,0.0,1.0,D,인공일반지능,인공일반지능,인공일반지능
0.6246,1,1,0.0,1.0,J,임베딩,임베딩,임베딩
0.6246,1,1,0.0,1.0,J,자동화된 머신러닝,자동화된 머신러닝,자동화된 머신러닝
0.6246,1,1,0.0,1.0,I,추론 기반 강화학습,추론 기반 강화학습,추론 기반 강화학습
0.6246,1,1,0.0,1.0,B,탈옥,탈옥,탈옥
0.6246,1,1,0.0,1.0,E,팹리스,팹리스,팹리스
0.6246,1,1,0.0,1.0,D,프론티어 AI,프론티어 AI,프론티어 ai
0.6246,1,1,0.0,1.0,J,희소 어텐션,희소 어텐션,희소 어텐션
0.5517,2,4,1.0,1.0,F,모델,model,model
0.5517,2,4,1.0,1.0,I,위험,risk,risk
0.5131,2,6,1.0,0.0,B,Evaluations,Evaluations,evaluations
0.4805,1,1,0.0,0.0,I,AI 가속기,AI 가속기,ai 가속기
0.4805,1,1,0.0,0.0,D,AI 격차의,AI 격차의,ai 격차의
0.4805,1,1,0.0,0.0,F,AI 고속도로의,AI 고속도로의,ai 고속도로의
0.4805,1,1,0.0,0.0,A,AI 기술 주권,AI 기술 주권,ai 기술 주권
0.4805,1,1,0.0,0.0,J,AI 네이티브,AI 네이티브,ai 네이티브
0.4805,1,1,0.0,0.0,E,AI 신뢰성,AI 신뢰성,ai 신뢰성
0.4805,1,1,0.0,0.0,A,AI 아첨,AI 아첨,ai 아첨
0.4805,1,1,0.0,0.0,D,AI 안전,AI 안전,ai 안전
0.4805,1,1,0.0,0.0,D,AI 어시스턴트,AI 어시스턴트,ai 어시스턴트
0.4805,1,1,0.0,0.0,D,AI 에이전트,AI 에이전트,ai 에이전트
0.4805,1,1,0.0,0.0,J,AI 오케스트레이션,AI 오케스트레이션,ai 오케스트레이션
0.4805,1,1,0.0,0.0,A,AI 윤리의,AI 윤리의,ai 윤리의
0.4805,1,1,0.0,0.0,I,AI 이념적 편향,AI 이념적 편향,ai 이념적 편향
0.4805,1,1,0.0,0.0,J,AI 전환,AI 전환,ai 전환
0.4805,1,1,0.0,0.0,A,AI 책임성,AI 책임성,ai 책임성
0.4805,1,1,0.0,0.0,I,AI 편향,AI 편향,ai 편향
0.4805,1,1,0.0,0.0,E,AI 포용성,AI 포용성,ai 포용성
0.4805,1,1,0.0,0.0,D,AI 혜택이 특정 집단에 집중되지 않고 모든 사회 구성원이 골고루 누리자는,AI 혜택이 특정 집단에 집중되지 않고 모든 사회 구성원이 골고루 누리자는,ai 혜택이 특정 집단에 집중되지 않고 모든 사회 구성원이 골고루 누리자는
0.4805,1,1,0.0,0.0,A,AI 환각,AI 환각,ai 환각
0.4805,1,1,0.0,0.0,D,AI-RAN,AI-RAN,ai ran
0.4805,1,1,0.0,0.0,F,AI법,AI법,ai법
0.4805,1,1,0.0,0.0,I,G PU,G PU,g pu
0.4805,1,1,0.0,0.0,D,HBM,HBM,hbm
0.4805,1,1,0.0,0.0,I,LAM,LAM,lam
0.4805,1,1,0.0,0.0,J,PIM,PIM,pim
0.4805,1,1,0.0,0.0,I,RA G,RA G,ra g
0.4805,1,1,0.0,0.0,B,XAI,XAI,xai
0.4805,1,1,0.0,0.0,E,가시적 워터마킹,가시적 워터마킹,가시적 워터마킹
0.4805,1,1,0.0,0.0,J,감성 컴퓨팅,감성 컴퓨팅,감성 컴퓨팅
0.4805,1,1,0.0,0.0,F,강화학습,강화학습,강화학습
0.4805,1,1,0.0,0.0,D,공간지능,공간지능,공간지능
0.4805,1,1,0.0,0.0,A,기술적 특이점,기술적 특이점,기술적 특이점
0.4805,1,1,0.0,0.0,I,뉴로모픽 컴퓨팅,뉴로모픽 컴퓨팅,뉴로모픽 컴퓨팅
0.4805,1,1,0.0,0.0,D,다중 에이전트 시스템,다중 에이전트 시스템,다중 에이전트 시스템
0.4805,1,1,0.0,0.0,I,데이터 랭글링,데이터 랭글링,데이터 랭글링
0.4805,1,1,0.0,0.0,I,데이터 플라이휠,데이터 플라이휠,데이터 플라이휠
0.4805,1,1,0.0,0.0,I,머신러닝,머신러닝,머신러닝
0.4805,1,1,0.0,0.0,I,모델 압축,모델 압축,모델 압축
0.4805,1,1,0.0,0.0,D,범용 AI 에이전트,범용 AI 에이전트,범용 ai 에이전트
0.4805,1,1,0.0,0.0,B,벤치마크 데이터셋,벤치마크 데이터셋,벤치마크 데이터셋
0.4805,1,1,0.0,0.0,J,비가시적 워터마킹,비가시적 워터마킹,비가시적 워터마킹
0.4805,1,1,0.0,0.0,J,비전언어모델,비전언어모델,비전언어모델
0.4805,1,1,0.0,0.0,D,사용자 인터페이스 제어형 에이전트,사용자 인터페이스 제어형 에이전트,사용자 인터페이스 제어형 에이전트
0.4805,1,1,0.0,0.0,D,사전학습모델,사전학습모델,사전학습모델
0.4805,1,1,0.0,0.0,I,순환 신경망,순환 신경망,순환 신경망
0.4805,1,1,0.0,0.0,I,시뮬레이션-현실 전이,시뮬레이션-현실 전이,시뮬레이션 현실 전이
0.4805,1,1,0.0,0.0,A,에이전틱 오정렬,에이전틱 오정렬,에이전틱 오정렬
0.4805,1,1,0.0,0.0,F,영향받는 자,영향받는 자,영향받는 자
0.4805,1,1,0.0,0.0,D,온디바이스 AI,온디바이스 AI,온디바이스 ai
0.4805,1,1,0.0,0.0,E,위험관리체계,위험관리체계,위험관리체계
0.4805,1,1,0.0,0.0,F,이용자,이용자,이용자
0.4805,1,1,0.0,0.0,C,이중 용도 위험,이중 용도 위험,이중 용도 위험
0.4805,1,1,0.0,0.0,F,인공지능 관련 안전사고,인공지능 관련 안전사고,인공지능 관련 안전사고
0.4805,1,1,0.0,0.0,F,인공지능 수명주기,인공지능 수명주기,인공지능 수명주기
0.4805,1,1,0.0,0.0,F,인공지능사업자,인공지능사업자,인공지능사업자
0.4805,1,1,0.0,0.0,D,인공초지능,인공초지능,인공초지능
0.4805,1,1,0.0,0.0,I,인공협소지능,인공협소지능,인공협소지능
0.4805,1,1,0.0,0.0,J,자동화된 의사결정,자동화된 의사결정,자동화된 의사결정
0.4805,1,1,0.0,0.0,J,자연어 처리,자연어 처리,자연어 처리
0.4805,1,1,0.0,0.0,J,전문가 조합,전문가 조합,전문가 조합
0.4805,1,1,0.0,0.0,D,제로샷 러닝,제로샷 러닝,제로샷 러닝
0.4805,1,1,0.0,0.0,I,지도학습,지도학습,지도학습
0.4805,1,1,0.0,0.0,I,지식 증류,지식 증류,지식 증류
0.4805,1,1,0.0,0.0,D,추론 모델,추론 모델,추론 모델
0.4805,1,1,0.0,0.0,J,토큰,토큰,토큰
0.4805,1,1,0.0,0.0,J,트랜스포머 아키텍처,트랜스포머 아키텍처,트랜스포머 아키텍처
0.4805,1,1,0.0,0.0,I,파운데이션 모델,파운데이션 모델,파운데이션 모델
0.4805,1,1,0.0,0.0,F,프롬프트 인젝션,프롬프트 인젝션,프롬프트 인젝션
0.4805,1,1,0.0,0.0,H,합성곱 신경망,합성곱 신경망,합성곱 신경망
0.4805,1,1,0.0,0.0,H,합성데이터,합성데이터,합성데이터
0.4724,2,5,1.0,0.0,F,Modalities,Modalities,modalities
0.2677,1,4,1.0,0.0,D,Capabilities,Capabilities,capabilities
0.2677,1,4,1.0,0.0,F,Deployment,Deployment,deployment
0.2677,1,4,1.0,0.0,I,Inference,Inference,inference
0.2306,1,3,1.0,0.0,G,System,System,system
0.1499,1,1,1.0,1.0,F,제공자,provider,provider
0.1153,1,1,1.0,0.0,I,Parameters,Parameters,parameters
0.0721,1,1,0.0,0.0,F,위험,위험,위험
